#interval	max_mem_used_MB	min_mem_available_MB	max_disk_space_used_GB	max_mem_utilization_percent	max_disk_space_utilization_percent	max_cpu_utilization_percent
273	492.72265625	471.734375	122.595962524414	51.0880879380804	59.3454925087612	-
274	474.546875	489.91015625	122.740020751953	49.2035269196966	59.4152273212885	-
275	492.66796875	471.7890625	122.880977630615	51.0824176491792	59.4834608521035	-
276	474.15234375	490.3046875	123.062671661377	49.1626198354806	59.5714141706258	83.0
277	474.61328125	489.84375	123.181427001953	49.2104122705052	59.628900518703	-
278	492.9453125	471.51171875	123.321327209473	51.1111741143211	59.6966225427107	-
279	492.77734375	471.6796875	123.454135894775	51.0937582269817	59.7609117466652	-
280	493.59375	470.86328125	123.587966918945	51.1784075398642	59.8256958380722	-
281	492.62109375	471.8359375	123.776336669922	51.0775574015496	59.9168806977957	83.0
282	474.56640625	489.890625	123.920330047607	49.2055520228756	59.9865841182085	-
283	493.06640625	471.390625	124.025798797607	51.123729754031	60.0376387759978	-
284	474.828125	489.62890625	124.203010559082	49.2326884054743	60.1234223454279	-
285	493.15625	471.30078125	124.349208831787	51.1330452286544	60.1941930977345	-
286	474.7109375	489.74609375	124.496318817139	49.2205377864002	60.2654051862395	83.0
287	474.578125	489.87890625	124.639457702637	49.206767084783	60.3346949693786	-
288	492.7890625	471.66796875	124.777496337891	51.0949732888891	60.4015158550399	-
289	493.2265625	471.23046875	124.918277740479	51.1403356000988	60.4696644424861	-
290	474.55078125	489.90625	125.072021484375	49.2039319403324	60.5440877596476	-
291	474.359375	490.09765625	125.261852264404	49.1840859291781	60.6359798652455	83.0
292	474.609375	489.84765625	125.394618988037	49.2100072498694	60.7002487566553	-
293	493.09375	471.36328125	125.564338684082	51.1265648984816	60.7824056135601	-
294	474.67578125	489.78125	125.751895904541	49.216892600678	60.8731971485545	-
295	474.8515625	489.60546875	125.875995635986	49.2351185292891	60.9332705761877	-
296	492.59375	471.86328125	126.03343963623	51.074722257099	61.0094850904722	83.0
297	474.578125	489.87890625	126.178070068359	49.206767084783	61.0794968922453	-
298	474.45703125	490.0	126.316967010498	49.1942114450731	61.1467332617753	-
299	474.17578125	490.28125	126.486785888672	49.1650499592954	61.2289381301494	-
300	474.5703125	489.88671875	126.633190155029	49.2059570435114	61.2998085985845	-
301	492.72265625	471.734375	126.766170501709	51.0880879380804	61.3641808993128	83.0
302	493.03125	471.42578125	126.902362823486	51.1200845683088	61.4301080330076	-
303	492.40234375	472.0546875	127.031463623047	51.0548762459447	61.4926023466492	-
304	492.85546875	471.6015625	127.205226898193	51.1018586396977	61.5767165942244	-
305	474.4453125	490.01171875	127.358299255371	49.1929963831657	61.6508149106709	-
306	474.4921875	489.96484375	127.524753570557	49.1978566307953	61.7313910822795	83.0
307	474.47265625	489.984375	127.672367095947	49.1958315276163	61.8028469213209	-
308	474.6875	489.76953125	127.8444480896	49.2181076625854	61.8861468205134	-
309	474.54296875	489.9140625	127.969329833984	49.2031218990608	61.9465988001158	-
310	493.05078125	471.40625	128.096309661865	51.1221096714878	62.0080664069529	-
311	492.78515625	471.671875	128.251354217529	51.0945682682533	62.083119413	83.0
